event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type
22344,Mizoram,Champhai,,KawlbemNgopa section,23.881971,93.250969,True,,False,,none,,Rock,Slide
22345,Mizoram,Aizawl,,ZawnginPhullen section,23.882055,93.041222,True,,False,,none,,Debris,Slide
22346,Mizoram,Champhai,,KawlbemNgopa section,23.882389,93.248947,True,,False,2017,year,2017,Debris,Slide
22347,Mizoram,Aizawl,,"2.5 km S of Khawruhlian
towards Sesawng on NH 150",23.882583,92.877639,True,,False,2016,year,2016,Debris,Slide
22348,Mizoram,Aizawl,,"4.2 km S of Khawruhlian
towards Sesawng on NH 150",23.88319,92.869,True,,False,2016,year,2016,Debris,Slide
22349,Mizoram,Aizawl,,"~6.5 km S of Khawruhlian
towards Sesawng on NH 150",23.883306,92.861917,True,,False,2016,year,2016,Debris,Flow
22350,Mizoram,Aizawl,,"~4.8 km S of Khawruhlian
towards Sesawng on NH 150",23.88375,92.866778,True,,False,2016,year,2016,Debris,Slide
22351,Mizoram,Aizawl,,"2km Khawruhlian milestone
towards Sesawng on NH 150",23.883944,92.880528,True,,False,2016,year,2016,Debris,Slide
22352,Mizoram,Champhai,,18 km from ngopa,23.883944,93.247528,True,,False,,none,,Rock,Slide
22353,Mizoram,Champhai,Ngopa,"Ngopa village, 0 point",23.884083,93.209908,True,,False,,none,,Rock,Slide
22354,Mizoram,Champhai,,"Ngopa village, 0 pointTuivai R",23.885195,93.202332,True,,False,,none,,Rock,Slide
22355,Mizoram,Champhai,,"Ngopa village, 0 point to Tuivai
river",23.885279,93.207726,True,,False,,none,,Debris,Flow
22356,Mizoram,Aizawl,,"~7.3 km S of Khawruhlian
towards Sesawng on NH 150",23.885639,92.857861,True,,False,,none,,Debris,Slide
22357,Mizoram,Champhai,,"Ngopa village, 0 pointTuivai R",23.886723,93.200279,True,,False,2017,year,2017,Debris,Slide
22358,Mizoram,Aizawl,,"Ainawl village, near Tuivai river",23.887251,93.095612,True,,False,,none,,Debris,Slide
22359,Mizoram,Aizawl,,"11 km Khawruhlian milestone
towards Sesawng on NH 150",23.887333,92.851111,True,,False,2016,year,2016,Debris,Flow
22360,Mizoram,Aizawl,,ZawnginPhullen section,23.888081,93.026642,True,,False,,none,,Debris,Slide
22361,Mizoram,Aizawl,,ZawnginPhullen section,23.888945,93.033974,True,,False,,none,,Rock,Slide
22362,Mizoram,Aizawl,,"Lungdai village, Silchar road",23.889306,92.736528,True,,False,,none,,Rock,Slide
22363,Mizoram,Champhai,,NgopaTeikhang section,23.890694,93.275024,True,,False,2017,year,2017,Rock,Slide
22364,Mizoram,Aizawl,,"10 km Khawruhlian milestone
towards Sesawng on NH 150",23.891722,92.84925,True,,False,2016,year,2016,Debris,Slide
22366,Mizoram,Aizawl,,ZawnginPhullen section,23.894444,93.019279,True,,False,,none,,Debris,Slide
22367,Mizoram,Aizawl,,NH 54,23.8985,92.64739,True,,False,,none,,Rock cum Debris,Slide
22368,Mizoram,Aizawl,,Zawngin village,23.899305,93.015587,True,,False,,none,,Rock,Slide
22369,Mizoram,Mamit,Mamit-Tuidam road section slide,Mamit-Tuidam road section,23.9,92.39,True,,False,2019,year,2019,Rock,Slide
22370,Mizoram,Aizawl,,Zawngin village,23.900694,93.015587,True,,False,,none,,Debris,Slide
22371,Mizoram,Champhai,,"12 km milestone to Teikhang
from Ngopa",23.901638,93.278641,True,,False,,none,,Debris,Slide
22372,Mizoram,Aizawl,,Pehlawn,23.902111,92.922556,True,,False,2016,year,2016,Debris,Slide
22373,Mizoram,Champhai,,"Ngopa village, 0 point to Tuivai
river",23.905027,93.185776,True,,False,2016,year,2016,Rock,Slide
22374,Mizoram,Aizawl,,"Zawngin village, northern
outskirts",23.907555,93.015114,True,,False,2017,year,2017,Debris,Slide
22375,Mizoram,Champhai,,"Ngopa village, 0 point to Tuivai
river",23.908806,93.177391,True,,False,2017,year,2017,Debris,Slide
22376,Mizoram,Champhai,,"Ngopa village, 0 point to Tuivai
river",23.908806,93.180832,True,,False,,none,,Rock,Slide
22377,Mizoram,Aizawl,,SuangpuilawnZawngin section,23.909111,93.02375,True,,False,,none,,Rock,Slide
22378,Mizoram,Mamit,Mamit-Tuidam old road section slide 1,Mamit-Tuidam old road section,23.91,92.45,True,,False,2019,year,2019,Debris,Slide
22379,Mizoram,Champhai,,"Ngopa village, 0 point to Tuivai
river",23.91011,93.177193,True,,False,,none,,Rock,Slide
22380,Mizoram,Aizawl,,SuangpuilawnZawngin section,23.913445,93.023941,True,,False,,none,,Debris,Slide
22381,Mizoram,Champhai,,"Ngopa village, 0 point to Tuivai
river",23.914278,93.178864,True,,False,,none,,Debris,Slide
22382,Mizoram,Aizawl,,"E of Serkhan, Serkhan-Hlimen
road",23.915778,92.742417,True,,False,2016,year,2016,Rock,Slide
22383,Mizoram,Aizawl,,E Phaileng on NH 150,23.918389,92.923472,True,,False,2016,year,2016,Debris,Slide
22384,Mizoram,Aizawl,,"Serkhan- Nisapui-Luanguat road
section",23.918461,92.741531,True,,False,2016,year,2016,Rock,Slide
22385,Mizoram,Aizawl,,"~2 km from Serkhan towards
Khawnpui",23.918694,92.740389,True,,False,2016,year,2016,Debris,Slide
22386,Mizoram,Mamit,,Khamrang village road,23.918917,92.650833,True,,False,2016,year,2016,Rock,Slide
22387,Mizoram,Aizawl,,~3.5 km from Serkhan,23.922639,92.736528,True,,False,2016,year,2016,Debris,Slide
22388,Mizoram,Aizawl,,NH 54,23.92294,92.65703,True,,False,2013,year,2013,Debris,Slide
22389,Mizoram,Aizawl,,Silchar road,23.923047,92.656696,True,,False,2014,year,2014,Debris,Slide
22390,Mizoram,Aizawl,,"~1km N of Pehlawn at 4 km
Kepran milestone",23.92425,92.925222,True,,False,2016,year,2016,Debris,Slide
22391,Mizoram,Aizawl,,"Serkhan-Luangmuat road
section",23.924278,92.744806,True,,False,2016,year,2016,Rock,Slide
22392,Mizoram,Aizawl,,SuangpuilawnZawngin section,23.927389,93.02803,True,,False,,none,,Debris,Slide
22394,Mizoram,Aizawl,,~3.5 km S of Kepran,23.929083,92.922778,True,,False,2016,year,2016,Rock,Slide
22395,Mizoram,Mamit,Mamit-Tuidam old road section slide 2,"Mamit-Tuidam old road section,
near Tuidam water reservoir
(NRDWP)",23.93,92.37,True,,False,2019,year,2019,Debris,Flow
22396,Mizoram,Aizawl,,Silchar road,23.933904,92.673871,True,,False,2016,year,2016,Rock,Slide
22397,Mizoram,Aizawl,,"Serkhan-Khawnpui section,
Silchar road",23.934222,92.730611,True,,False,2016,year,2016,Debris,Slide
22398,Mizoram,Aizawl,,"Khamrang-Kawnpui road, 19 km
S of Kawnpui",23.934417,92.667222,True,,False,2016,year,2016,Rock,Slide
22399,Mizoram,Champhai,,SE of Teikhang,23.935917,93.345642,True,,False,2017,year,2017,Debris,Slide
22401,Mizoram,Aizawl,,PhuaibuangKhawlian section,23.936333,93.118858,True,,False,,none,,Debris,Slide
22402,Mizoram,Champhai,,SE of Teikhang,23.936806,93.340668,True,,False,2017,year,2017,Debris,Slide
22403,Mizoram,Aizawl,,PhuaibuangKhawlian section,23.938028,93.121277,True,,False,,none,,Rock,Slide
22404,Mizoram,Champhai,,"Near 9 km milestone NE of
Khawdungsei",23.938583,93.213997,True,,False,,none,,Rock,Slide
22405,Mizoram,Champhai,,,23.939194,93.214195,True,,False,,none,,Debris,Slide
22406,Mizoram,Aizawl,,1.5 km S of Kepran,23.9395,92.927889,True,,False,2016,year,2016,Debris,Slide
22407,Mizoram,Mamit,North of Tuidam slide 1,"Tuidam-Kwarthah road section
(North of Tuidam village/NH
108)",23.94,92.37,True,,False,2019,year,2019,Rock,Slide
22408,Mizoram,Aizawl,,Silchar road,23.940106,92.680592,True,,False,2016,year,2016,Debris,Slide
22409,Mizoram,Aizawl,,"14 km milestone Kawnpui on
Aizawl-Silchar road",23.940333,92.680833,True,,False,2016,year,2016,Rock,Slide
22410,Mizoram,Champhai,,,23.942722,93.213531,True,,False,2017,year,2017,Debris,Slide
22411,Mizoram,Aizawl,Kepran slide,Kepran on NH-150,23.943241,92.933604,True,,False,2016,year,2016,Debris,Slide
22412,Mizoram,Aizawl,Kepran slide,Kepran village on NH 150,23.94325,92.933611,True,,False,2016,year,2016,Debris,Slide
22413,Mizoram,Champhai,,SE of Teikhang,23.945055,93.313698,True,,False,2017,year,2017,Debris,Slide
22414,Mizoram,Aizawl,,S of Suangpuilawn,23.948917,93.038719,True,,False,,none,,Rock,Slide
22415,Mizoram,Mamit,North of Tuidam slide 2,"Tuidam-Kwarthah road section
(North of Tuidam village/NH
108)",23.95,92.37,True,,False,2019,year,2019,Rock,Slide
22416,Mizoram,Aizawl,,Near Phuaibuang,23.950195,93.125061,True,,False,,none,,Rock,Slide
22417,Mizoram,Champhai,,,23.950277,93.217056,True,,False,,none,,Debris,Slide
22418,Mizoram,Aizawl,,S of Suangpuilawn,23.950417,93.037109,True,,False,2017,year,2017,Debris,Slide
22419,Mizoram,Aizawl,,Suangpuilawn village,23.956528,93.041084,True,,False,,none,,Rock,Slide
22420,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.957556,93.026558,True,,False,,none,,Debris,Slide
22421,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.958944,93.022781,True,,False,,none,,Debris,Slide
22423,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.959278,93.020859,True,,False,,none,,Debris,Slide
22424,Mizoram,Aizawl,,,23.959278,93.123558,True,,False,,none,,Debris,Slide
22425,Mizoram,Aizawl,,SE of Sawleng,23.95942,92.943345,True,,False,2016,year,2016,Debris,Slide
22426,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.961,93.028969,True,,False,,none,,Debris,Slide
22427,Mizoram,Aizawl,,Suangpuilawn village,23.962278,93.035309,True,,False,2017,year,2017,Debris,Slide
22428,Mizoram,Aizawl,,"Near bridge(PHED Kawnpui
water supply gate)",23.965889,92.682278,True,,False,2016,year,2016,Rock,Fall
22429,Mizoram,Aizawl,,Suangpuilawn village,23.966249,93.041115,True,,False,,none,,Rock,Slide
22431,Mizoram,Aizawl,,SuangpuilawnLamherh section,23.966917,93.041473,True,,False,,none,,Debris,Flow
22432,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.969223,93.016335,True,,False,,none,,Rock,Slide
22433,Mizoram,Aizawl,,"~2.5 km S of Sawleng at 5 km N
of Kepran milestone",23.970444,92.927167,True,,False,2016,year,2016,Debris,Slide
22434,Mizoram,Kolasib,,Aizaw-Silchar road,23.971078,92.682781,True,,False,2016,year,2016,Rock,Slide
22435,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.972027,93.014893,True,,False,2017,year,2017,Rock,Slide
22436,Mizoram,Kolasib,,"Aizaw-Silchar road (~100m from
prev loc)",23.972222,92.68325,True,,False,2016,year,2016,Rock,Slide
22437,Mizoram,Kolasib,,"Aizaw-Silchar road (~10m from
prev loc 206a)",23.973513,92.6839,True,,False,2016,year,2016,Debris,Slide
22438,Mizoram,Kolasib,,"Aizaw-Silchar road (~100m from
prev loc 205)",23.973684,92.683868,True,,False,2016,year,2016,Rock,Slide
22439,Mizoram,Kolasib,,"Aizaw-Silchar road, 9 km
milestone S of Kawnpui",23.976412,92.683312,True,,False,2016,year,2016,Rock,Fall
22440,Mizoram,Kolasib,,"Aizaw-Silchar road, S of
Kawnpui",23.979472,92.684139,True,,False,2016,year,2016,Rock,Slide
22441,Mizoram,Champhai,,HrianghmunMimbung section,23.980749,93.28653,True,,False,,none,,Rock,Slide
22442,Mizoram,Champhai,,MimbungHrianghmun section,23.981083,93.287392,True,,False,,none,,Rock,Slide
22443,Mizoram,Kolasib,,,23.982,92.718028,True,,False,2016,year,2016,Debris,Slide
22444,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.982639,93.011055,True,,False,2017,year,2017,Debris,Slide
22445,Mizoram,Kolasib,,"Aizaw-Silchar road, 8 km
milestone S of Kawnpui",23.983667,92.683333,True,,False,2016,year,2016,Rock,Slide
22446,Mizoram,Aizawl,,SuangpuilawnLamherh section,23.983694,93.044418,True,,False,,none,,Soil,Slide
22447,Mizoram,Aizawl,,Lungmuat-N Chaltlang section,23.984972,92.772028,True,,False,2016,year,2016,Debris,Slide
22448,Mizoram,Kolasib,,Aizaw-Silchar road,23.986109,92.681581,True,,False,2016,year,2016,Rock,Slide
22449,Mizoram,Kolasib,,"~ 1 km from Taiton on Silchar
road",23.9865,92.709806,True,,False,2016,year,2016,Debris,Slide
22450,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section",23.990028,93.010582,True,,False,,none,,Debris,Slide
22451,Mizoram,Kolasib,,Aizaw-Silchar road,23.99016,92.68075,True,,False,2016,year,2016,Rock,Slide
22452,Mizoram,Aizawl,,SuangpuilawnVanbawng,23.992805,93.043251,True,,False,,none,,Rock,Slide
22453,Mizoram,Aizawl,,"SuangpuilawnE. Phaileng
section, near Rungdil",23.993778,93.004524,True,,False,,none,,Debris,Slide
22454,Mizoram,Kolasib,,"Aizaw-Silchar road,6 km
milestone S of Kawnpui",23.997222,92.681722,True,,False,2016,year,2016,Debris,Slide
22455,Mizoram,Champhai,,Mimbung village,23.999111,93.285309,True,,False,,none,,Debris,Slide
22456,Mizoram,Champhai,,MimbungTuisa river section,24.000334,93.300278,True,,False,2016,year,2016,Debris,Slide
