event_id,source,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue
422,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.26,Amsoi- Amtrang road,26.035278,92.470861,True,,False,2010,year,2010,Debris,Slide,,,,,,False,outside_current_dem_coverage
423,GSI,Assam,West Karbi Anglong,Nellie-Umswai road slide No.3,Nellie - Umpanai-Umswai road,26.036583,92.273056,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
424,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.24,Amsoi- Amtrang road,26.039194,92.4595,True,,False,2014,year,2014,Debris,Slide,,,,,,False,outside_current_dem_coverage
425,GSI,Assam,West Karbi Anglong,Nellie-Umswai road slide No.2,Nellie - Umpanai-Umswai road,26.039361,92.273806,True,,False,,none,,Rock cum Debris,Slide,,,,,,False,outside_current_dem_coverage
426,GSI,Assam,Kamrup,Barakasarong,Barkasarong,26.0405,92.0355,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
427,GSI,Assam,West Karbi Anglong,Nellie-Umswai road slide No.1,Nellie - Umpanai-Umswai road,26.042139,92.27525,True,,False,,none,,Rock cum Debris,Slide,,,,,,False,outside_current_dem_coverage
428,GSI,Assam,Kamrup,Kalangpur,"Enroute to Kasangmala, Kamrup",26.043267,92.055531,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
429,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.18,"~1 Km North-East of Dolaigaon,
Amsoi- Amtrang road",26.043583,92.440528,True,,False,2016,year,2016,Debris,Slide,,,,,,False,outside_current_dem_coverage
430,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.23,Amsoi- Amtrang road,26.043583,92.452222,True,,False,2014,year,2014,Debris,Slide,,,,,,False,outside_current_dem_coverage
431,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.19,"~1.2 Km North-East of
Dolaigaon, Amsoi- Amtrang
road",26.043611,92.440944,True,,False,2016,year,2016,Debris,Slide,,,,,,False,outside_current_dem_coverage
432,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.20,"~1.5 Km North-East of
Dolaigaon, Amsoi- Amtrang
road",26.043722,92.441472,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
