event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue,landslide
NEG_18470,,,,,26.630078804423057,88.54812326741398,True,,False,2024-05-28,day,,,,94.0,0.9279360212320218,0.0,0.003148096204560773,1.125,True,,0
NEG_18471,,,,,26.800670976902246,88.1464320334903,True,,False,2007-07-19,day,,,,660.0,26.109864751973134,128.29016319224309,0.00419746160608103,12.125,True,,0
NEG_18472,,,,,26.513064693240146,88.35368652241439,True,,False,2013-09-07,day,,,,91.0,3.0923172810272,257.00538320808346,0.0,1.375,True,,0
NEG_18473,,,,,26.690685615457856,91.49607394477114,True,,False,2024-05-28,day,,,,81.0,2.387247982208247,240.94539590092285,0.0010493654015202576,1.0,True,,0
NEG_18474,,,,,26.087930255543416,88.14681595445265,True,,False,2022-04-04,day,,,,51.0,1.9124458385919303,75.96375653207352,0.0010493654015202576,0.875,True,,0
NEG_18475,,,,,26.42569064918202,88.7530015622999,True,,False,2012-07-31,day,,,,75.0,1.182826340705832,101.30993247402021,-0.0010493654015202576,0.5,True,,0
NEG_18476,,,,,27.040087775129532,88.68419908864703,True,,False,2024-05-28,day,,,,1264.0,16.280491891513307,106.92751306414704,0.001049365401520258,7.25,True,,0
NEG_18477,,,,,26.860354134080236,88.95751787329266,True,,False,2024-07-02,day,,,,168.0,1.3917519488540016,90.0,-0.0052468270076012884,1.625,True,,0
NEG_18478,,,,,26.510363199572126,88.72685833719471,True,,False,2013-09-01,day,,,,84.0,1.3917519488540016,90.0,0.002098730803040515,0.75,True,,0
NEG_18479,,,,,26.16533675745549,91.56728993650876,True,,False,2010-08-06,day,,,,56.0,1.9678475545111025,225.0,0.0,0.75,True,,0
NEG_18480,,,,,26.03485004596494,88.6383461869891,True,,False,2019-07-10,day,,,,58.0,1.8553855108258313,90.0,-0.002098730803040515,1.25,True,,0
