event_id,source,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type
GLC_7019,GLC,Arunachal Pradesh,,"Tawang Monastery, Arunachal Pradesh",,27.5798729,91.85672387,True,,False,2010-11-22,day,unknown,,landslide
GLC_7046,GLC,Assam,,"Boragaon, North Guwahati, Guwahati, Assam,",,26.1016,91.6906,True,,False,2013-05-11,day,rain,,landslide
GLC_7047,GLC,Mizoram,,"Kolasib, Saiha, Mizoram,",,24.2315,92.6755,True,,False,2013-05-07,day,rain,,mudslide
GLC_7059,GLC,Assam,,"Kharghuli, Guwahati, Assam",,26.1965,91.763,True,,False,2010-04-20,day,downpour,,landslide
GLC_7110,GLC,Assam,,Natonal Highway in Jorabat area,,26.1028,91.8806,True,,False,2015-08-22,day,continuous_rain,,landslide
GLC_7210,GLC,Nagaland,,"Suruhuto Town, Nagaland",,26.0838,94.564,True,,False,2013-08-04,day,rain,,landslide
GLC_7245,GLC,Mizoram,,"National Highway 54, at Kawnpui town",,24.042,92.6724,True,,False,2015-08-27,day,downpour,,landslide
GLC_7286,GLC,Arunachal Pradesh,,Itanagar/Naharlagur/Nirjuli,,27.125,93.7145,True,,False,2011-07-15,day,downpour,,landslide
GLC_7314,GLC,Arunachal Pradesh,,"Dibang Valley, Arunachal Pradesh",,28.8254,96.1509,True,,False,2013-04-07,day,rain,,landslide
GLC_7334,GLC,Manipur,,Senam,,24.416,94.0984,True,,False,2015-08-01,day,continuous_rain,,landslide
GLC_7342,GLC,Nagaland,,"Yakshu, Nagaland",,26.4205,94.9731,True,,False,2013-08-30,day,unknown,,mudslide
GLC_7422,GLC,Nagaland,,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",,25.4786,94.1327,True,,False,2010-08-27,day,downpour,,landslide
GLC_7436,GLC,Nagaland,,NH-61 between Botsa and Chiechama,,25.8782,94.1739,True,,False,2011-07-01,day,downpour,,landslide
GLC_7440,GLC,Sikkim,,Namchi,,27.1695,88.3664,True,,False,2016-10-15,day,rain,,landslide
GLC_7468,GLC,Assam,,Ratacherra,,25.0318,92.4584,True,,False,2015-03-19,day,rain,,landslide
GLC_7486,GLC,Arunachal Pradesh,,"Gosang Village Under Jengging Circle, Arunachal Pradesh",,28.611,94.9829,True,,False,2013-09-02,day,downpour,,landslide
GLC_7493,GLC,Mizoram,,"Ngur, near Mizoram-Myanmar border, India",,23.5397,93.3783,True,,False,2016-07-28,day,continuous_rain,,landslide
GLC_7503,GLC,Assam,,"Sonaighuli area near Kahilipara, Guwahati City, Assam",,26.1049,91.7369,True,,False,2012-06-25,day,downpour,,landslide
GLC_7533,GLC,Arunachal Pradesh,,"Arunachal Pradesh, Dibang,",,28.8254,96.1517,True,,False,2012-06-02,day,downpour,,landslide
GLC_7537,GLC,Arunachal Pradesh,,Type-IV Colony of Seppa in East Kameng,,27.36,93.0385,True,,False,2015-07-15,day,monsoon,,landslide
GLC_7554,GLC,Assam,,"Batahguli, Guwahati, Assam",,26.1309,91.8383,True,,False,2013-10-06,day,downpour,,landslide
GLC_7563,GLC,Arunachal Pradesh,,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",,28.3036,95.4112,True,,False,2010-09-09,day,downpour,,landslide
GLC_7582,GLC,Manipur,,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",,25.1555,93.8474,True,,False,2011-05-31,day,continuous_rain,,landslide
GLC_7617,GLC,Nagaland,,"Bungte Chiru village(?), Senapati district, Manipur",,25.2745,94.0212,True,,False,2010-10-08,day,downpour,,landslide
GLC_7618,GLC,Mizoram,,"road to Kanan Veng from Hunthar Veng, Mizoram",,23.73504471,92.71060943,True,,False,2010-09-13,day,downpour,,landslide
GLC_7621,GLC,Assam,,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",,25.0888,92.8551,True,,False,2011-05-24,day,downpour,,complex
GLC_7644,GLC,Sikkim,,"Daragaon(?), Gangtok city, Sikkim",,27.3392,88.6188,True,,False,2010-08-27,day,downpour,,landslide
GLC_7689,GLC,Meghalaya,,Byrnihat,,26.048,91.8695,True,,False,2015-09-05,day,unknown,,landslide
GLC_7709,GLC,Mizoram,,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",,23.3439,93.0748,True,,False,2010-09-13,day,downpour,,landslide
GLC_7711,GLC,Meghalaya,,Akonggre,,25.5084,90.2191,True,,False,2015-06-16,day,downpour,,rock_fall
GLC_7742,GLC,Assam,,Kangtsung Village,,26.7103,94.693,True,,False,2013-08-11,day,downpour,,landslide
GLC_7755,GLC,Sikkim,,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",,27.3543,88.6428,True,,False,2010-05-31,day,downpour,,landslide
GLC_7760,GLC,Assam,,"Nungba, Tamenglong, Manipur",,24.7679,93.4108,True,,False,2010-10-08,day,downpour,,landslide
GLC_7829,GLC,Nagaland,,Meluri Sub-Division in Phek District of Nagaland,,25.72,94.6219,True,,False,2015-08-02,day,continuous_rain,,landslide
GLC_7841,GLC,Nagaland,,"Zunheboto, Nagaland, India",,26.0101,94.5282,True,,False,2016-07-26,day,downpour,,landslide
GLC_7913,GLC,Nagaland,,"Lower Pezielietsie(Tinpati), Kohima, Manipur",,25.682,94.1076,True,,False,2010-10-09,day,downpour,,landslide
GLC_7973,GLC,Mizoram,,"Aizawl, Mizoram, India",,23.7348,92.7187,True,,False,2015-09-14,day,downpour,,landslide
GLC_8034,GLC,Meghalaya,,NH-62 at Sibbari,,25.2193,90.5549,True,,False,2015-08-19,day,continuous_rain,,landslide
GLC_8037,GLC,Arunachal Pradesh,,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",,27.5748,91.8644,True,,False,2016-07-28,day,monsoon,,landslide
GLC_8089,GLC,Nagaland,,"Senapati, Manipur",,25.318,94.0441,True,,False,2013-08-09,day,downpour,,landslide
GLC_8113,GLC,Manipur,,Khoupum,,24.7016,93.5291,True,,False,2015-08-11,day,continuous_rain,,landslide
GLC_8160,GLC,Assam,,"rails between Jatinga and Longrangjao(?), Assam",,25.0633,92.8025,True,,False,2010-06-16,day,downpour,,landslide
GLC_8162,GLC,Nagaland,,"NH-61, 1 km before reaching Botsa",,25.6703,94.1095,True,,False,2011-07-11,day,downpour,,landslide
GLC_8291,GLC,Nagaland,,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",,25.705,94.04,True,,False,2008-08-07,day,downpour,,landslide
GLC_8294,GLC,Nagaland,,Mokokchung,,26.3186,94.5121,True,,False,2011-06-20,day,downpour,,landslide
GLC_8310,GLC,Manipur,,Ukhrul town Circular road from Rayotang to Viewland Zone II,,25.1122,94.3591,True,,False,2015-08-01,day,continuous_rain,,landslide
GLC_8311,GLC,Arunachal Pradesh,,"Tuting, Upper Siang , Arunachal Pradesh",,28.9986,94.8885,True,,False,2012-07-05,day,downpour,,landslide
GLC_8340,GLC,Nagaland,,"Jahjon ward(?), Mon town, Nagaland",,26.7215,95.0283,True,,False,2010-07-19,day,downpour,,landslide
GLC_8362,GLC,Sikkim,,Geyzing-Jorethang road and Naya Bazar-Legship road,,27.2872,88.2816,True,,False,2007-09-18,day,rain,,landslide
GLC_8384,GLC,Mizoram,,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",,23.7365,92.7146,True,,False,2010-08-06,day,downpour,,landslide
GLC_8395,GLC,Mizoram,,"Dapchhuah, Mamit, Mizoram",,23.7705,92.5217,True,,False,2012-11-11,day,downpour,,landslide
